"";"x"
"1";17,663948
"2";17,415529
"3";17,032988
"4";17,12586
"5";17,003391
"6";17,111071
"7";16,892563
"8";16,779837
"9";16,867685
"10";17,203323
"11";17,548714
"12";17,4508
"13";17,023224
"14";17,287701
"15";17,364529
"16";17,511555
"17";17,193241
"18";17,332722
"19";15,947367
"20";15,766326
"21";15,735787
"22";15,761604
"23";15,790883
"24";16,019463
"25";16,139114
"26";16,233189
"27";16,460287
"28";16,755169
"29";16,975937
"30";16,974672
"31";17,244215
"32";17,230274
"33";17,293621
"34";17,020601
"35";16,823586
"36";16,636707
"37";16,709558
"38";16,535675
"39";16,38649
"40";16,713354
"41";16,668066
"42";16,716206
"43";16,826429
"44";16,861912
"45";16,810919
"46";16,801098
"47";16,816301
"48";16,980057
"49";16,996521
"50";16,807749
"51";16,618975
"52";16,683899
"53";16,831503
"54";16,827068
"55";16,745987
"56";16,878065
"57";17,078245
"58";17,261948
"59";17,09693
"60";17,023449
"61";17,004442
"62";17,000641
"63";17,156157
"64";17,184666
"65";17,065575
"66";16,844807
"67";16,580332
"68";16,579378
"69";16,797298
"70";16,580647
"71";16,458067
"72";16,523634
"73";16,405802
"74";16,439064
"75";16,626894
"76";16,824223
"77";16,841007
"78";16,620871
"79";17,983486
"80";18,115566
"81";18,817141
"82";18,761393
"83";18,690449
"84";18,734476
"85";18,76931
"86";19,034744
"87";18,827282
"88";18,761393
"89";18,727955
"90";18,649916
"91";18,882111
"92";18,911734
"93";18,915234
"94";18,754385
"95";19,031174
"96";19,256676
"97";19,260492
"98";19,311457
"99";19,342033
"100";19,560524
"101";19,926817
"102";19,875216
"103";20,237364
"104";20,161549
"105";20,023005
"106";20,306156
"107";20,538031
"108";20,618612
"109";20,561918
"110";20,89094
"111";21,013565
"112";20,926611
"113";20,576571
"114";20,351387
"115";20,556507
"116";20,529758
"117";20,552048
"118";20,480701
"119";20,268894
"120";20,251051
"121";20,128431
"122";20,146261
"123";20,266668
"124";20,507454
"125";20,719257
"126";20,850803
"127";20,841887
"128";20,964516
"129";21,397051
"130";21,258816
"131";21,267733
"132";21,189695
"133";21,229836
"134";21,504068
"135";21,252125
"136";21,131731
"137";20,754942
"138";21,053701
"139";20,94445
"140";21,118355
"141";21,669048
"142";21,633379
"143";21,776072
"144";22,077063
"145";21,93437
"146";21,883089
"147";21,314554
"148";21,432724
"149";21,312325
"150";21,207539
"151";21,171865
"152";21,169624
"153";21,22788
"154";21,507967
"155";21,503477
"156";21,788044
"157";21,846296
"158";21,95385
"159";22,218241
"160";22,525206
"161";22,53418
"162";22,536419
"163";22,702223
"164";22,751522
"165";22,605875
"166";22,883715
"167";22,910608
"168";22,966614
"169";23,145872
"170";22,168951
"171";21,98522
"172";22,175669
"173";22,038994
"174";21,956087
"175";22,630522
"176";22,726873
"177";22,77841
"178";22,771694
"179";22,599157
"180";22,760481
"181";22,807531
"182";22,621561
"183";22,643961
"184";22,997986
"185";22,798567
"186";21,929203
"187";22,574507
"188";22,431107
"189";22,574507
"190";22,222721
"191";22,384056
"192";22,321316
"193";22,321316
"194";22,126373
"195";22,585712
"196";22,635
"197";22,57003
"198";22,363884
"199";22,126373
"200";21,855261
"201";21,568455
"202";21,884388
"203";22,352682
"204";22,9599
"205";23,076412
"206";23,488688
"207";23,576073
"208";23,551432
"209";23,916655
"210";24,051088
"211";23,970428
"212";24,198975
"213";24,512663
"214";24,333412
"215";24,391668
"216";24,461428
"217";24,531195
"218";24,490686
"219";24,686468
"220";25,035273
"221";25,388584
"222";25,69463
"223";25,651875
"224";25,984924
"225";25,804901
"226";26,173962
"227";26,209963
"228";26,696039
"229";26,464256
"230";26,779305
"231";26,763556
"232";25,894913
"233";25,795898
"234";26,088446
"235";25,989429
"236";25,879156
"237";25,294065
"238";25,681128
"239";25,192801
"240";25,11854
"241";24,693214
"242";24,355665
"243";24,022612
"244";24,621206
"245";25,350325
"246";25,154545
"247";25,415588
"248";25,325567
"249";25,206303
"250";25,651875
"251";25,633865
"252";25,321068
"253";24,839491
"254";24,603205
"255";23,910089
"256";23,912348
"257";24,247648
"258";25,1793
"259";25,206303
"260";24,585199
"261";24,803488
"262";24,708973
"263";24,038366
"264";23,85158
"265";24,465929
"266";24,652718
"267";25,294065
"268";25,424587
"269";25,451593
"270";24,560446
"271";25,948917
"272";26,756807
"273";26,365232
"274";26,696039
"275";26,700546
"276";26,905327
"277";27,097357
"278";26,869181
"279";27,047661
"280";27,567284
"281";28,213432
"282";28,570393
"283";28,710464
"284";28,879906
"285";29,08098
"286";29,019979
"287";29,257204
"288";30,047932
"289";29,860413
"290";29,096786
"291";29,46505
"292";29,022242
"293";29,16457
"294";29,225567
"295";29,040306
"296";28,559092
"297";28,602015
"298";28,72401
"299";28,129841
"300";27,616982
"301";28,116282
"302";27,921986
"303";28,229237
"304";28,701424
"305";29,024496
"306";28,805349
"307";28,443872
"308";28,739832
"309";28,622353
"310";27,874542
"311";28,068832
"312";27,845175
"313";28,550058
"314";28,111763
"315";28,071093
"316";28,312834
"317";28,771458
"318";28,468725
"319";28,376087
"320";28,592983
"321";28,714975
"322";28,658499
"323";28,534241
"324";28,642681
"325";28,504871
"326";28,184057
"327";28,827942
"328";28,672052
"329";29,058392
"330";29,295599
"331";29,433418
"332";29,968851
"333";29,496675
"334";29,062899
"335";28,274429
"336";29,132935
"337";29,076458
"338";28,421278
"339";28,242796
"340";28,417486
"341";28,95289
"342";28,657961
"343";28,555874
"344";28,587635
"345";29,254625
"346";29,213795
"347";29,535948
"348";29,508718
"349";29,506451
"350";29,808186
"351";30,069086
"352";29,406635
"353";29,95565
"354";29,896669
"355";29,556366
"356";29,615353
"357";29,483767
"358";29,52006
"359";29,347645
"360";29,186569
"361";28,993725
"362";28,907526
"363";29,238743
"364";29,172951
"365";28,850805
"366";28,794085
"367";28,94836
"368";28,880304
"369";29,011879
"370";28,721487
"371";28,950623
"372";28,819044
"373";29,06406
"374";28,925673
"375";28,75552
"376";28,251871
"377";28,456053
"378";28,721487
