"";"x"
"1";17,663948
"2";15,761604
"3";16,668066
"4";17,000641
"5";18,690449
"6";20,161549
"7";20,719257
"8";21,314554
"9";22,966614
"10";22,574507
"11";24,198975
"12";26,763556
"13";24,839491
"14";26,365232
"15";29,022242
"16";28,111763
"17";28,274429
"18";29,556366
"19";28,456053
"20";27,519091
"21";25,697428
"22";25,136805
"23";27,233444
"24";27,075375
"25";24,090899
"26";22,278244
"27";22,249559
"28";25,079939
"29";21,57073
"30";23,118919
"31";22,132677
"32";24,126005
"33";24,696634
"34";26,314369
"35";26,428423
"36";25,857542
"37";27,097549
"38";28,391359
"39";32,189495
"40";33,756798
"41";33,75444
"42";36,043243
"43";33,98106
"44";35,092365
"45";38,84724
"46";36,506924
"47";40,04108
"48";40,853035
"49";40,230194
"50";39,802303
"51";42,516201
"52";40,048107
"53";39,44659
"54";44,776779
"55";44,355053
"56";45,596264
"57";54,734764
"58";54,280304
"59";52,625965
"60";43,090271
"61";38,061707
"62";40,160965
"63";41,959229
"64";46,030357
"65";48,628124
"66";42,587875
"67";48,14642
"68";51,824532
"69";50,971439
"70";54,690403
"71";60,743774
"72";65,454712
"73";71,920586
"74";75,805008
"75";67,110054
"76";62,428364
"77";72,12809
"78";78,265778
"79";89,801071
"80";104,630066
"81";127,289734
"82";114,239166
"83";107,383446
"84";117,637848
"85";131,116043
"86";130,394714
"87";120,000656
"88";120,881416
"89";130,094742
"90";123,525345
"91";135,767838
"92";144,590347
"93";150,733902
"94";140,47847
"95";148,718552
"96";164,346176
"97";176,545364
