Date;Open;High;Low;Close;Volume
30.12.2014;51248,43;51416,08;51013,74;51416,08;37771612
02.01.2015;51598,39;51598,39;51307,87;51378;19047698
05.01.2015;51309,21;51309,21;50516,71;50516,71;29630731
07.01.2015;50667,73;51481,52;50615,55;51350,42;42127890
08.01.2015;51558,05;52391;51558,05;52391;50575487
09.01.2015;52380,4;52393,37;51970,54;52065,88;38862111
12.01.2015;52057,14;52217,15;51666,75;51910,34;36914024
13.01.2015;51868,28;52585,44;51868,28;52443,1;45075053
14.01.2015;52164,31;52170,06;51683,04;51910,3;43064568
15.01.2015;52110,74;52188,32;50557,2;50616,63;94141719
16.01.2015;50443,44;50647,36;49943,11;50300,33;54225355
19.01.2015;50399,96;50485,44;49931,45;50230,33;40503266
20.01.2015;50408,12;50622,25;50058,56;50058,56;41660572
21.01.2015;50185,61;50918,41;50153,72;50918,41;40633004
22.01.2015;51040,19;51555,28;51040,19;51484,81;42396746
23.01.2015;51590,01;51771,22;51541,05;51680,12;43643531
26.01.2015;51436,13;51546,55;51246,21;51516,62;39896825
27.01.2015;51607,12;51931,34;51365,77;51578,85;53095191
28.01.2015;51728,82;51865,09;51371,18;51706,19;55346561
29.01.2015;51746,94;52107,42;51619,07;52040,24;40836692
30.01.2015;52133,12;52205,74;51978,86;52102,39;39689785
02.02.2015;52197,7;52314,78;51595,99;51923,51;39933517
03.02.2015;52030,28;52170,01;51749,77;52030,36;44236001
04.02.2015;52063,83;52120,98;51831,13;52049,85;47433511
05.02.2015;52005,74;52107,26;51823,11;52107,26;40917515
06.02.2015;52179,51;52417,42;52121,13;52417,42;43300556
09.02.2015;52323,15;52361,17;52045,5;52137,58;29797366
10.02.2015;52166,8;52315,28;52106,99;52140,43;30835688
11.02.2015;52230,57;52242,69;51859,13;51893,79;54229810
12.02.2015;51989,99;52167,92;51887,45;52139,81;36577562
13.02.2015;52251,36;52368,83;52143,81;52368,83;43075305
16.02.2015;52428,1;52687,21;52422,22;52634,84;32573654
17.02.2015;52619,03;52742,79;52479,04;52641,26;41346992
18.02.2015;52794,08;52834,2;52462,79;52476,64;42747558
19.02.2015;52567,71;52665,67;52447,9;52572,95;33257648
20.02.2015;52600,08;52665,77;52491,12;52566,43;24524249
23.02.2015;52765,52;52911,87;52712,9;52911,87;34097325
24.02.2015;52896,45;52968,27;52620,83;52949,64;44245586
